id	name
4	Afghanistan
48	Bahrain
50	Bangladesh
96	Brunei Darussalam
104	Myanmar
116	Cambodia
144	Sri Lanka
156	China
158	Taiwan, Province of China
356	India
360	Indonesia
364	Iran, Islamic Republic of
368	Iraq
376	Israel
392	Japan
400	Jordan
408	Korea, Democratic People's Republic of
410	Korea, Republic of
414	Kuwait
417	Kyrgyzstan
422	Lebanon
458	Malaysia
462	Maldives
496	Mongolia
512	Oman
524	Nepal
586	Pakistan
608	Philippines
634	Qatar
702	Singapore
704	Viet Nam
762	Tajikistan
764	Thailand
784	United Arab Emirates
788	Tunisia
792	Turkey
