hour,minute,desktop,smartphone,tablet,other mobile
0, 0 , 133 , 99 , 97 , 5 
0, 1 , 148 , 88 , 104 , 7 
0, 2 , 151 , 90 , 94 , 5 
0, 3 , 139 , 86 , 99 , 7 
0, 4 , 134 , 86 , 94 , 8 
0, 5 , 145 , 87 , 87 , 6 
0, 6 , 142 , 94 , 94 , 6 
0, 7 , 139 , 87 , 98 , 6 
0, 8 , 144 , 85 , 101 , 7 
0, 9 , 138 , 93 , 98 , 6 
0, 10 , 142 , 94 , 98 , 6 
0, 11 , 140 , 90 , 101 , 7 
0, 12 , 146 , 96 , 90 , 7 
0, 13 , 158 , 91 , 99 , 6 
0, 14 , 157 , 94 , 91 , 7 
0, 15 , 162 , 92 , 92 , 8 
0, 16 , 158 , 90 , 97 , 8 
0, 17 , 161 , 90 , 85 , 6 
0, 18 , 157 , 90 , 86 , 7 
0, 19 , 153 , 96 , 93 , 8 
0, 20 , 151 , 89 , 104 , 7 
0, 21 , 156 , 90 , 103 , 6 
0, 22 , 158 , 88 , 97 , 8 
0, 23 , 164 , 99 , 109 , 7 
0, 24 , 164 , 90 , 95 , 6 
0, 25 , 165 , 92 , 96 , 5 
0, 26 , 170 , 91 , 100 , 5 
0, 27 , 165 , 87 , 96 , 7 
0, 28 , 173 , 94 , 91 , 6 
0, 29 , 174 , 91 , 106 , 7 
0, 30 , 167 , 100 , 98 , 6 
0, 31 , 169 , 81 , 90 , 8 
0, 32 , 161 , 97 , 100 , 8 
0, 33 , 164 , 91 , 102 , 8 
0, 34 , 168 , 90 , 95 , 7 
0, 35 , 177 , 96 , 89 , 8 
0, 36 , 173 , 92 , 94 , 6 
0, 37 , 172 , 92 , 100 , 7 
0, 38 , 172 , 93 , 88 , 7 
0, 39 , 176 , 95 , 95 , 6 
0, 40 , 181 , 92 , 87 , 8 
0, 41 , 178 , 87 , 87 , 7 
0, 42 , 176 , 90 , 91 , 5 
0, 43 , 180 , 91 , 102 , 7 
0, 44 , 186 , 84 , 97 , 5 
0, 45 , 226 , 87 , 91 , 6 
0, 46 , 197 , 91 , 84 , 6 
0, 47 , 194 , 89 , 90 , 5 
0, 48 , 203 , 82 , 93 , 6 
0, 49 , 200 , 89 , 92 , 6 
0, 50 , 201 , 93 , 86 , 6 
0, 51 , 198 , 89 , 89 , 7 
0, 52 , 197 , 85 , 88 , 4 
0, 53 , 202 , 82 , 94 , 5 
0, 54 , 203 , 84 , 90 , 4 
0, 55 , 194 , 76 , 91 , 4 
0, 56 , 197 , 73 , 90 , 6 
0, 57 , 200 , 79 , 92 , 5 
0, 58 , 197 , 84 , 94 , 4 
0, 59 , 188 , 82 , 97 , 4 
1, -   , 188 , 80 , 96 , 5 
1, 1 , 202 , 79 , 91 , 8 
1, 2 , 202 , 81 , 87 , 7 
1, 3 , 200 , 72 , 83 , 5 
1, 4 , 208 , 68 , 84 , 7 
1, 5 , 218 , 73 , 80 , 5 
1, 6 , 213 , 69 , 78 , 5 
1, 7 , 211 , 69 , 77 , 5 
1, 8 , 203 , 72 , 72 , 8 
1, 9 , 197 , 76 , 84 , 8 
1, 10 , 208 , 76 , 84 , 6 
1, 11 , 205 , 71 , 83 , 6 
1, 12 , 207 , 76 , 72 , 7 
1, 13 , 208 , 63 , 72 , 8 
1, 14 , 212 , 70 , 69 , 6 
1, 15 , 213 , 66 , 76 , 7 
1, 16 , 209 , 62 , 71 , 4 
1, 17 , 203 , 65 , 79 , 5 
1, 18 , 204 , 61 , 81 , 6 
1, 19 , 205 , 60 , 76 , 6 
1, 20 , 209 , 61 , 76 , 4 
1, 21 , 218 , 57 , 79 , 5 
1, 22 , 218 , 60 , 80 , 4 
1, 23 , 208 , 58 , 73 , 6 
1, 24 , 216 , 60 , 71 , 4 
1, 25 , 216 , 60 , 84 , 5 
1, 26 , 221 , 55 , 75 , 4 
1, 27 , 223 , 54 , 75 , 4 
1, 28 , 224 , 61 , 79 , 5 
1, 29 , 223 , 51 , 73 , 3 
1, 30 , 216 , 58 , 76 , 5 
1, 31 , 216 , 58 , 70 , 3 
1, 32 , 207 , 55 , 77 , 3 
1, 33 , 216 , 54 , 82 , 3 
1, 34 , 224 , 55 , 81 , 4 
1, 35 , 224 , 60 , 78 , 4 
1, 36 , 217 , 50 , 69 , 6 
1, 37 , 218 , 49 , 74 , 4 
1, 38 , 209 , 51 , 74 , 4 
1, 39 , 211 , 54 , 73 , 5 
1, 40 , 217 , 46 , 70 , 4 
1, 41 , 212 , 45 , 71 , 3 
1, 42 , 207 , 47 , 67 , 4 
1, 43 , 213 , 56 , 74 , 4 
1, 44 , 215 , 50 , 70 , 5 
1, 45 , 242 , 51 , 68 , 4 
1, 46 , 221 , 53 , 68 , 4 
1, 47 , 225 , 52 , 66 , 3 
1, 48 , 219 , 43 , 68 , 4 
1, 49 , 213 , 50 , 66 , 4 
1, 50 , 223 , 48 , 66 , 5 
1, 51 , 221 , 53 , 69 , 5 
1, 52 , 222 , 47 , 69 , 5 
1, 53 , 220 , 47 , 70 , 6 
1, 54 , 216 , 43 , 69 , 4 
1, 55 , 212 , 46 , 71 , 4 
1, 56 , 221 , 50 , 68 , 4 
1, 57 , 215 , 46 , 75 , 3 
1, 58 , 216 , 51 , 72 , 3 
1, 59 , 213 , 42 , 60 , 4 
2, -   , 207 , 47 , 67 , 5 
2, 1 , 218 , 46 , 67 , 3 
2, 2 , 217 , 46 , 61 , 4 
2, 3 , 221 , 52 , 60 , 6 
2, 4 , 218 , 51 , 62 , 4 
