hour,minute,desktop,smartphone,tablet,other mobile
0, 1 , 77 , 16 , 33 , 4 
0, 2 , 78 , 19 , 31 , 3 
0, 3 , 68 , 22 , 33 , 4 
0, 4 , 71 , 16 , 34 , 3 
0, 5 , 70 , 18 , 35 , 2 
0, 6 , 69 , 19 , 34 , 4 
0, 7 , 60 , 15 , 29 , 3 
0, 8 , 59 , 17 , 28 , 4 
0, 9 , 63 , 20 , 22 , 3 
0, 10 , 63 , 21 , 24 , 3 
0, 11 , 62 , 17 , 26 , 4 
0, 12 , 64 , 18 , 31 , 4 
0, 13 , 61 , 17 , 30 , 3 
0, 14 , 66 , 18 , 30 , 3 
0, 15 , 66 , 19 , 26 , 2 
0, 16 , 56 , 19 , 30 , 3 
0, 17 , 52 , 17 , 29 , 3 
0, 18 , 55 , 17 , 33 , 3 
0, 19 , 52 , 19 , 28 , 3 
0, 20 , 48 , 16 , 25 , 3 
0, 21 , 53 , 20 , 28 , 4 
0, 22 , 48 , 14 , 25 , 3 
0, 23 , 68 , 17 , 24 , 3 
0, 24 , 53 , 16 , 25 , 4 
0, 25 , 53 , 16 , 23 , 3 
0, 26 , 50 , 14 , 25 , 4 
0, 27 , 48 , 15 , 28 , 5 
0, 28 , 47 , 11 , 23 , 4 
0, 29 , 53 , 13 , 22 , 5 
0, 30 , 48 , 14 , 21 , 3 
0, 31 , 41 , 19 , 19 , 2 
0, 32 , 45 , 14 , 21 , 4 
0, 33 , 43 , 16 , 21 , 2 
0, 34 , 43 , 11 , 23 , 3 
0, 35 , 45 , 12 , 23 , 3 
0, 36 , 44 , 14 , 22 , 2 
0, 37 , 43 , 13 , 22 , 3 
0, 38 , 47 , 11 , 21 , 2 
0, 39 , 43 , 13 , 18 , 3 
0, 40 , 42 , 13 , 18 , 2 
0, 41 , 45 , 11 , 18 , 3 
0, 42 , 43 , 12 , 18 , 3 
0, 43 , 44 , 17 , 18 , 2 
0, 44 , 42 , 16 , 20 , 3 
0, 45 , 48 , 14 , 20 , 2 
0, 46 , 45 , 11 , 18 , 3 
0, 47 , 43 , 12 , 17 , 2 
0, 48 , 39 , 13 , 19 , 2 
0, 49 , 40 , 15 , 17 , 3 
0, 50 , 41 , 13 , 14 , 3 
0, 51 , 45 , 14 , 14 , 2 
0, 52 , 44 , 12 , 16 , 2 
0, 53 , 48 , 10 , 17 , 2 
0, 54 , 43 , 11 , 17 , 2 
0, 55 , 41 , 18 , 17 , 2 
0, 56 , 43 , 12 , 17 , 3 
0, 57 , 45 , 10 , 18 , 3 
0, 58 , 41 , 14 , 16 , 3 
0, 59 , 37 , 11 , 14 , 2 
1, -   , 39 , 13 , 12 , 2 
1, 1 , 47 , 11 , 16 , 2 
1, 2 , 47 , 11 , 14 , 3 
1, 3 , 46 , 11 , 15 , 2 
1, 4 , 43 , 13 , 13 , 2 
1, 5 , 40 , 10 , 13 , 2 
1, 6 , 39 , 10 , 16 , 2 
1, 7 , 40 , 10 , 18 , 2 
1, 8 , 42 , 11 , 12 , 2 
1, 9 , 38 , 11 , 15 , 2 
1, 10 , 39 , 15 , 13 , 2 
1, 11 , 39 , 9 , 12 , 3 
1, 12 , 40 , 10 , 14 , 2 
1, 13 , 43 , 10 , 14 , 1 
1, 14 , 44 , 12 , 16 , 3 
1, 15 , 41 , 10 , 14 , 2 
1, 16 , 41 , 8 , 14 , 3 
1, 17 , 36 , 13 , 13 , 3 
1, 18 , 39 , 14 , 14 , 2 
1, 19 , 35 , 12 , 14 , 2 
1, 20 , 41 , 10 , 15 , 2 
1, 21 , 35 , 14 , 16 , 3 
1, 22 , 32 , 11 , 14 , 2 
1, 23 , 34 , 11 , 16 , 2 
1, 24 , 32 , 8 , 12 , 3 
1, 25 , 32 , 13 , 10 , 2 
1, 26 , 38 , 9 , 12 , 2 
1, 27 , 40 , 8 , 13 , 3 
