id	name
8	Albania
20	Andorra
51	Armenia
56	Belgium
70	Bosnia and Herzegovina
100	Bulgaria
112	Belarus
188	Costa Rica
191	Croatia
196	Cyprus
203	Czech Republic
208	Denmark
233	Estonia
246	Finland
250	France
254	French Guiana
258	French Polynesia
260	French Southern Territories
268	Georgia
270	Gambia
276	Germany
300	Greece
348	Hungary
352	Iceland
380	Italy
428	Latvia
438	Liechtenstein
442	Luxembourg
470	Malta
492	Monaco
498	Moldova, Republic of
499	Montenegro
528	Netherlands
616	Poland
620	Portugal
642	Romania
643	Russian Federation
688	Serbia
703	Slovakia
705	Slovenia
724	Spain
748	Swaziland
752	Sweden
756	Switzerland
792	Turkey
804	Ukraine
