hour,minute,desktop,smartphone,tablet,other mobile
0,0, 3 , 3 , 3 , 5 
0,1, 4 , 4 , 5 , 7 
0,2, 4 , 2 , 4 , 5 
0,3, 3 , 2 , 2 , 7 
0,4, 3 , 3 , 4 , 8 
0,5, 3 , 2 , 5 , 6 
0,6, 3 , 2 , 6 , 6 
0,7, 3 , 2 , 5 , 6 
0,8, 4 , 3 , 4 , 7 
0,9, 3 , 4 , 4 , 6 
0,10, 4 , 3 , 3 , 6 
0,11, 3 , 3 , 2 , 7 
0,12, 2 , 3 , 3 , 7 
0,13, 3 , 3 , 1 , 6 
0,14, 4 , 3 , 4 , 7 
0,15, 3 , 4 , 3 , 8 
0,16, 3 , 3 , 3 , 8 
0,17, 4 , 3 , 5 , 6 
0,18, 4 , 3 , 4 , 7 
0,19, 5 , 2 , 3 , 8 
0,20, 4 , 3 , 4 , 7 
0,21, 4 , 2 , 2 , 6 
0,22, 4 , 3 , 2 , 8 
0,23, 4 , 1 , 3 , 7 
0,24, 4 , 3 , 3 , 6 
0,25, 4 , 3 , 4 , 5 
0,26, 4 , 2 , 4 , 5 
0,27, 4 , 3 , 3 , 7 
0,28, 4 , 2 , 3 , 6 
0,29, 4 , 2 , 3 , 7 
0,30, 4 , 2 , 3 , 6 
0,31, 4 , 3 , 2 , 8 
0,32, 4 , 2 , 3 , 8 
0,33, 3 , 2 , 3 , 8 
0,34, 5 , 2 , 3 , 7 
0,35, 3 , 3 , 2 , 8 
0,36, 4 , 3 , 2 , 6 
0,37, 3 , 3 , 2 , 7 
0,38, 3 , 2 , 2 , 7 
0,39, 3 , 2 , 3 , 6 
0,40, 3 , 3 , 4 , 8 
0,41, 3 , 3 , 2 , 7 
0,42, 4 , 3 , 2 , 5 
0,43, 3 , 3 , 4 , 7 
0,44, 3 , 3 , 3 , 5 
0,45, 3 , 4 , 3 , 6 
0,46, 4 , 2 , 3 , 6 
0,47, 3 , 2 , 3 , 5 
0,48, 2 , 3 , 4 , 6 
0,49, 3 , 3 , 5 , 6 
0,50, 3 , 3 , 4 , 6 
0,51, 3 , 3 , 4 , 7 
0,52, 2 , 3 , 4 , 4 
0,53, 3 , 2 , 3 , 5 
0,54, 3 , 4 , 4 , 4 
0,55, 3 , 3 , 5 , 4 
0,56, 4 , 2 , 5 , 6 
0,57, 3 , 2 , 4 , 5 
0,58, 2 , 2 , 4 , 4 
0,59, 3 , 2 , 2 , 4 
1,0, 3 , 3 , 2 , 5 
1,1, 3 , 5 , 4 , 8 
1,2, 4 , 3 , 4 , 7 
1,3, 5 , 3 , 5 , 5 
1,4, 5 , 2 , 2 , 7 
1,5, 3 , 3 , 3 , 5 
1,6, 4 , 2 , 2 , 5 
1,7, 3 , 2 , 2 , 5 
1,8, 3 , 3 , 5 , 8 
1,9, 3 , 4 , 3 , 8 
1,10, 4 , 2 , 6 , 6 
1,11, 3 , 3 , 2 , 6 
1,12, 2 , 3 , 2 , 7 
1,13, 3 , 3 , 4 , 8 
1,14, 5 , 3 , 4 , 6 
1,15, 5 , 4 , 2 , 7 
1,16, 4 , 2 , 5 , 4 
1,17, 3 , 3 , 4 , 5 
1,18, 3 , 2 , 3 , 6 
1,19, 5 , 3 , 4 , 6 
1,20, 4 , 5 , 4 , 4 
1,21, 3 , 4 , 4 , 5 
1,22, 4 , 2 , 3 , 4 
1,23, 4 , 3 , 4 , 6 
1,24, 4 , 3 , 3 , 4 
1,25, 3 , 2 , 4 , 5 
1,26, 3 , 3 , 4 , 4 
1,27, 4 , 2 , 6 , 4 
1,28, 3 , 2 , 3 , 5 
1,29, 3 , 3 , 7 , 3 
1,30, 3 , 3 , 6 , 5 
1,31, 3 , 3 , 6 , 3 
1,32, 4 , 1 , 4 , 3 
1,33, 3 , 2 , 4 , 3 
1,34, 4 , 3 , 6 , 4 
1,35, 3 , 3 , 3 , 4 
1,36, 3 , 3 , 4 , 6 
1,37, 3 , 3 , 3 , 4 
1,38, 3 , 3 , 4 , 4 
1,39, 2 , 2 , 5 , 5 
1,40, 3 , 3 , 3 , 4 
1,41, 3 , 2 , 4 , 3 
1,42, 4 , 2 , 4 , 4 
1,43, 3 , 2 , 5 , 4 
1,44, 6 , 2 , 3 , 5 
1,45, 5 , 2 , 4 , 4 
1,46, 4 , 3 , 5 , 4 
1,47, 3 , 2 , 3 , 3 
1,48, 3 , 2 , 5 , 4 
1,49, 3 , 2 , 5 , 4 
1,50, 3 , 2 , 3 , 5 
1,51, 3 , 2 , 4 , 5 
1,52, 3 , 3 , 4 , 5 
1,53, 3 , 3 , 4 , 6 
1,54, 3 , 2 , 4 , 4 
1,55, 3 , 2 , 4 , 4 
1,56, 4 , 2 , 3 , 4 
1,57, 3 , 3 , 4 , 3 
1,58, 3 , 2 , 6 , 3 
1,59, 4 , 2 , 6 , 4 
2,0, 4 , 3 , 5 , 5 
2,1, 4 , 4 , 5 , 3 
2,2, 4 , 5 , 4 , 4 
2,3, 4 , 3 , 3 , 6 
2,4, 3 , 2 , 6 , 4 
2,5, 5 , 2 , 5 , 2 
2,6, 4 , 2 , 7 , 3 
2,7, 2 , 4 , 5 , 3 
2,8, 4 , 2 , 6 , 5 
2,9, 4 , 3 , 8 , 3 
2,10, 4 , 3 , 6 , 4 
2,11, 3 , 2 , 7 , 3 
2,12, 3 , 4 , 9 , 3 
2,13, 6 , 5 , 8 , 3 
2,14, 6 , 4 , 6 , 4 
2,15, 5 , 4 , 4 , 4 
2,16, 6 , 4 , 4 , 3 
2,17, 6 , 3 , 6 , 5 
2,18, 4 , 3 , 4 , 5 
2,19, 4 , 3 , 5 , 4 
2,20, 5 , 4 , 7 , 5 
2,21, 5 , 3 , 6 , 6 
2,22, 4 , 3 , 6 , 3 
2,23, 4 , 4 , 7 , 4 
2,24, 3 , 6 , 8 , 4 
2,25, 3 , 3 , 7 , 4 
2,26, 5 , 5 , 5 , 3 
2,27, 5 , 3 , 6 , 3 
2,28, 4 , 3 , 6 , 3 
2,29, 3 , 4 , 9 , 3 
2,30, 4 , 2 , 8 , 4 
2,31, 4 , 4 , 6 , 4 
2,32, 3 , 2 , 8 , 4 
2,33, 4 , 2 , 9 , 4 
2,34, 3 , 4 , 9 , 3 
2,35, 4 , 4 , 8 , 4 
2,36, 4 , 5 , 9 , 4 
2,37, 4 , 3 , 6 , 4 
2,38, 4 , 5 , 9 , 4 
2,39, 5 , 5 , 10 , 4 
2,40, 4 , 4 , 10 , 5 
2,41, 3 , 3 , 10 , 4 
2,42, 3 , 4 , 10 , 3 
2,43, 4 , 5 , 7 , 5 
2,44, 4 , 5 , 7 , 4 
2,45, 4 , 4 , 7 , 4 
2,46, 4 , 3 , 10 , 3 
2,47, 4 , 4 , 7 , 3 
2,48, 5 , 4 , 9 , 4 
2,49, 4 , 5 , 7 , 4 
2,50, 4 , 4 , 10 , 4 
2,51, 5 , 5 , 8 , 4 
2,52, 5 , 6 , 9 , 3 
2,53, 5 , 4 , 7 , 3 
2,54, 5 , 5 , 6 , 4 
2,55, 6 , 4 , 6 , 5 
2,56, 6 , 4 , 8 , 6 
2,57, 6 , 5 , 9 , 4 
2,58, 5 , 5 , 8 , 4 
2,59, 5 , 5 , 9 , 5 
3,0, 5 , 5 , 9 , 6 
3,1, 5 , 5 , 11 , 4 
3,2, 6 , 6 , 7 , 5 
3,3, 6 , 6 , 8 , 5 
3,4, 5 , 3 , 9 , 6 
3,5, 6 , 4 , 10 , 6 
3,6, 5 , 5 , 12 , 6 
3,7, 6 , 5 , 9 , 5 
3,8, 7 , 4 , 10 , 5 
3,9, 6 , 5 , 12 , 4 
3,10, 6 , 5 , 12 , 5 
3,11, 7 , 7 , 12 , 6 
3,12, 6 , 7 , 12 , 6 
3,13, 7 , 6 , 12 , 5 
3,14, 7 , 5 , 12 , 5 
3,15, 6 , 6 , 10 , 5 
3,16, 6 , 5 , 9 , 4 
3,17, 6 , 6 , 13 , 5 
3,18, 5 , 5 , 11 , 5 
3,19, 6 , 4 , 14 , 5 
3,20, 6 , 7 , 11 , 4 
3,21, 7 , 5 , 12 , 5 
3,22, 8 , 5 , 16 , 6 
3,23, 8 , 6 , 13 , 6 
3,24, 8 , 6 , 14 , 4 
3,25, 7 , 5 , 14 , 5 
3,26, 8 , 5 , 13 , 5 
3,27, 7 , 5 , 10 , 7 
3,28, 8 , 8 , 14 , 6 
3,29, 11 , 5 , 12 , 6 
3,30, 9 , 6 , 13 , 5 
3,31, 6 , 5 , 15 , 3 
3,32, 9 , 6 , 11 , 3 
3,33, 7 , 7 , 17 , 7 
3,34, 8 , 4 , 13 , 5 
3,35, 7 , 4 , 14 , 3 
3,36, 9 , 6 , 14 , 5 
3,37, 8 , 7 , 14 , 4 
3,38, 7 , 5 , 13 , 4 
3,39, 10 , 7 , 12 , 4 
3,40, 10 , 7 , 13 , 3 
3,41, 10 , 5 , 15 , 2 
3,42, 12 , 6 , 14 , 3 
3,43, 13 , 5 , 17 , 4 
3,44, 12 , 6 , 13 , 3 
3,45, 10 , 5 , 14 , 5 
3,46, 9 , 6 , 16 , 4 
3,47, 7 , 6 , 16 , 4 
3,48, 7 , 6 , 15 , 4 
3,49, 10 , 6 , 14 , 4 
3,50, 7 , 5 , 15 , 5 
3,51, 9 , 6 , 14 , 5 
3,52, 10 , 5 , 14 , 5 
3,53, 10 , 4 , 15 , 5 
3,54, 10 , 5 , 15 , 5 
3,55, 11 , 8 , 15 , 5 
3,56, 11 , 6 , 16 , 5 
3,57, 12 , 8 , 16 , 4 
3,58, 13 , 8 , 14 , 4 
3,59, 10 , 6 , 16 , 4 
4,0, 11 , 6 , 15 , 4 
4,1, 12 , 7 , 12 , 5 
4,2, 13 , 4 , 15 , 4 
4,3, 13 , 7 , 15 , 5 
