hour,minute,desktop,smartphone,tablet,other
0, -   , 130 , 74 , 100 , 4 
0, 1 , 141 , 84 , 96 , 5 
0, 2 , 144 , 69 , 93 , 5 
0, 3 , 144 , 67 , 94 , 4 
0, 4 , 149 , 66 , 95 , 4 
0, 5 , 134 , 67 , 95 , 5 
0, 6 , 131 , 69 , 90 , 4 
0, 7 , 129 , 66 , 92 , 5 
0, 8 , 129 , 67 , 88 , 5 
0, 9 , 126 , 66 , 97 , 4 
0, 10 , 127 , 78 , 89 , 4 
0, 11 , 128 , 67 , 89 , 5 
0, 12 , 122 , 68 , 86 , 5 
0, 13 , 125 , 61 , 86 , 4 
0, 14 , 128 , 67 , 87 , 6 
0, 15 , 123 , 65 , 87 , 5 
0, 16 , 114 , 62 , 90 , 5 
0, 17 , 117 , 61 , 84 , 4 
0, 18 , 108 , 63 , 76 , 5 
0, 19 , 113 , 65 , 78 , 5 
0, 20 , 105 , 64 , 82 , 4 
0, 21 , 104 , 60 , 85 , 5 
0, 22 , 104 , 56 , 80 , 6 
0, 23 , 123 , 61 , 81 , 5 
0, 24 , 104 , 56 , 82 , 3 
0, 25 , 103 , 57 , 73 , 4 
0, 26 , 97 , 57 , 63 , 4 
0, 27 , 102 , 53 , 73 , 4 
0, 28 , 101 , 49 , 72 , 5 
0, 29 , 102 , 58 , 73 , 4 
0, 30 , 100 , 48 , 63 , 4 
0, 31 , 97 , 46 , 55 , 6 
0, 32 , 104 , 54 , 65 , 3 
0, 33 , 103 , 60 , 62 , 4 
0, 34 , 106 , 57 , 67 , 7 
0, 35 , 106 , 43 , 63 , 3 
0, 36 , 104 , 47 , 58 , 5 
0, 37 , 92 , 43 , 59 , 5 
0, 38 , 94 , 47 , 56 , 5 
0, 39 , 91 , 47 , 57 , 4 
0, 40 , 92 , 44 , 59 , 3 
0, 41 , 87 , 43 , 59 , 3 
0, 42 , 86 , 46 , 57 , 2 
0, 43 , 93 , 46 , 55 , 3 
0, 44 , 98 , 43 , 54 , 3 
0, 45 , 95 , 43 , 54 , 4 
0, 46 , 89 , 38 , 60 , 5 
0, 47 , 91 , 40 , 50 , 3 
0, 48 , 96 , 39 , 48 , 4 
0, 49 , 93 , 40 , 43 , 4 
0, 50 , 91 , 37 , 47 , 2 
0, 51 , 91 , 38 , 45 , 3 
0, 52 , 95 , 39 , 48 , 3 
0, 53 , 92 , 40 , 44 , 2 
0, 54 , 89 , 40 , 40 , 2 
0, 55 , 84 , 44 , 47 , 4 
0, 56 , 93 , 38 , 42 , 3 
0, 57 , 92 , 41 , 44 , 2 
0, 58 , 89 , 41 , 41 , 2 
0, 59 , 91 , 37 , 42 , 3 
1, -   , 86 , 40 , 47 , 2 
1, 1 , 106 , 36 , 38 , 2 
1, 2 , 101 , 36 , 38 , 2 
1, 3 , 94 , 38 , 37 , 3 
1, 4 , 95 , 34 , 41 , 2 
1, 5 , 87 , 30 , 38 , 3 
1, 6 , 86 , 35 , 44 , 2 
1, 7 , 86 , 34 , 41 , 3 
1, 8 , 86 , 35 , 33 , 4 
1, 9 , 88 , 36 , 31 , 4 
1, 10 , 84 , 45 , 37 , 4 
1, 11 , 78 , 36 , 34 , 2 
1, 12 , 79 , 40 , 34 , 3 
1, 13 , 71 , 36 , 32 , 3 
1, 14 , 75 , 34 , 32 , 3 
1, 15 , 77 , 36 , 34 , 2 
1, 16 , 75 , 33 , 36 , 3 
1, 17 , 71 , 32 , 35 , 2 
1, 18 , 70 , 34 , 35 , 3 
1, 19 , 67 , 33 , 31 , 3 
1, 20 , 73 , 32 , 30 , 3 
1, 21 , 74 , 32 , 29 , 3 
1, 22 , 75 , 28 , 30 , 3 
1, 23 , 74 , 27 , 29 , 2 
1, 24 , 72 , 22 , 29 , 2 
1, 25 , 64 , 29 , 31 , 2 
1, 26 , 70 , 26 , 30 , 3 
1, 27 , 70 , 26 , 29 , 2 
1, 28 , 72 , 27 , 32 , 1 
1, 29 , 64 , 25 , 30 , 2 
1, 30 , 65 , 24 , 31 , 2 
1, 31 , 67 , 24 , 26 , 2 
1, 32 , 68 , 25 , 27 , 2 
1, 33 , 63 , 29 , 27 , 2 
1, 34 , 66 , 23 , 28 , 4 
1, 35 , 63 , 25 , 29 , 3 
1, 36 , 70 , 26 , 30 , 3 
1, 37 , 66 , 24 , 26 , 3 
1, 38 , 61 , 24 , 29 , 3 
1, 39 , 61 , 21 , 30 , 3 
1, 40 , 59 , 21 , 29 , 2 
1, 41 , 61 , 20 , 29 , 2 
1, 42 , 64 , 22 , 33 , 2 
1, 43 , 66 , 22 , 24 , 2 
1, 44 , 63 , 22 , 27 , 1 
1, 45 , 66 , 23 , 26 , 1 
1, 46 , 64 , 21 , 25 , 3 
1, 47 , 62 , 25 , 24 , 3 
1, 48 , 62 , 23 , 19 , 3 
1, 49 , 59 , 22 , 21 , 2 
1, 50 , 60 , 19 , 23 , 4 
1, 51 , 56 , 22 , 24 , 2 
1, 52 , 53 , 22 , 21 , 2 
1, 53 , 61 , 18 , 17 , 2 
1, 54 , 60 , 18 , 24 , 2 
1, 55 , 64 , 24 , 19 , 3 
1, 56 , 60 , 19 , 24 , 3 
1, 57 , 60 , 17 , 19 , 2 
1, 58 , 61 , 18 , 18 , 3 
1, 59 , 60 , 19 , 19 , 2 
2, -   , 65 , 20 , 19 , 2 
2, 1 , 75 , 16 , 18 , 2 
2, 2 , 68 , 17 , 19 , 3 
2, 3 , 61 , 16 , 20 , 2 
2, 4 , 76 , 18 , 16 , 3 
2, 5 , 63 , 18 , 15 , 2 
2, 6 , 61 , 16 , 16 , 2 
2, 7 , 57 , 19 , 20 , 2 
2, 8 , 57 , 23 , 19 , 2 
2, 9 , 59 , 19 , 17 , 2 
2, 10 , 56 , 20 , 18 , 2 
2, 11 , 54 , 17 , 18 , 2 
2, 12 , 51 , 14 , 18 , 3 
2, 13 , 52 , 16 , 16 , 2 
2, 14 , 51 , 15 , 18 , 2 
2, 15 , 55 , 14 , 17 , 2 
2, 16 , 49 , 13 , 19 , 3 
2, 17 , 49 , 14 , 17 , 2 
2, 18 , 46 , 14 , 16 , 2 
2, 19 , 49 , 18 , 16 , 2 
2, 20 , 47 , 16 , 17 , 1 
2, 21 , 53 , 17 , 19 , 1 
2, 22 , 52 , 16 , 15 , 2 
2, 23 , 49 , 15 , 16 , 1 
2, 24 , 48 , 14 , 16 , 2 
2, 25 , 54 , 20 , 21 , 2 
2, 26 , 49 , 15 , 20 , 2 
2, 27 , 55 , 16 , 17 , 2 
2, 28 , 55 , 14 , 17 , 1 
2, 29 , 48 , 14 , 18 , 2 
2, 30 , 46 , 14 , 16 , 1 
2, 31 , 52 , 14 , 17 , 3 
2, 32 , 42 , 12 , 14 , 1 
2, 33 , 52 , 13 , 18 , 2 
2, 34 , 52 , 17 , 21 , 1 
2, 35 , 51 , 16 , 20 , 2 
2, 36 , 45 , 19 , 16 , 2 
2, 37 , 47 , 17 , 17 , 4 
2, 38 , 46 , 17 , 16 , 2 
2, 39 , 47 , 16 , 18 , 3 
2, 40 , 51 , 18 , 15 , 3 
2, 41 , 47 , 17 , 15 , 2 
2, 42 , 45 , 16 , 15 , 2 
2, 43 , 47 , 16 , 14 , 3 
2, 44 , 43 , 17 , 16 , 2 
2, 45 , 51 , 16 , 18 , 2 
2, 46 , 51 , 16 , 17 , 2 
2, 47 , 44 , 16 , 18 , 2 
2, 48 , 44 , 17 , 17 , 2 
2, 49 , 43 , 17 , 15 , 2 
2, 50 , 43 , 15 , 17 , 2 
2, 51 , 44 , 16 , 17 , 2 
2, 52 , 51 , 14 , 15 , 2 
2, 53 , 51 , 12 , 18 , 2 
2, 54 , 41 , 14 , 15 , 2 
2, 55 , 44 , 17 , 20 , 2 
2, 56 , 46 , 14 , 14 , 2 
2, 57 , 45 , 12 , 12 , 2 
2, 58 , 39 , 15 , 13 , 1 
2, 59 , 39 , 17 , 14 , 2 
3, -   , 40 , 19 , 15 , 2 
3, 1 , 50 , 13 , 15 , 3 
3, 2 , 49 , 15 , 18 , 2 
3, 3 , 46 , 15 , 18 , 1 
3, 4 , 45 , 15 , 14 , 2 
3, 5 , 41 , 15 , 16 , 2 
3, 6 , 40 , 14 , 14 , 3 
3, 7 , 42 , 13 , 18 , 4 
3, 8 , 42 , 15 , 15 , 2 
3, 9 , 43 , 13 , 17 , 2 
3, 10 , 39 , 22 , 18 , 1 
3, 11 , 39 , 14 , 15 , 2 
3, 12 , 43 , 12 , 19 , 3 
3, 13 , 40 , 11 , 18 , 2 
3, 14 , 43 , 14 , 16 , 1 
3, 15 , 39 , 13 , 16 , 1 
3, 16 , 39 , 12 , 18 , 2 
3, 17 , 39 , 14 , 18 , 2 
3, 18 , 41 , 14 , 14 , 1 
3, 19 , 40 , 13 , 14 , 2 
3, 20 , 39 , 16 , 15 , 2 
3, 21 , 39 , 13 , 18 , 5 
3, 22 , 42 , 13 , 16 , 1 
3, 23 , 46 , 15 , 13 , 2 
3, 24 , 41 , 14 , 17 , 3 
3, 25 , 39 , 16 , 18 , 1 
3, 26 , 44 , 12 , 16 , 2 
3, 27 , 43 , 15 , 16 , 1 
3, 28 , 41 , 12 , 16 , 2 
