hour,minute,desktop,smartphone,tablet,other mobile
0, 1 , 454 , 424 , 132 , 144 , 11 
0, 2 , 436 , 405 , 139 , 146 , 11 
0, 3 , 426 , 396 , 134 , 142 , 11 
0, 4 , 469 , 441 , 137 , 143 , 13 
0, 5 , 429 , 385 , 142 , 137 , 13 
0, 6 , 361 , 337 , 154 , 139 , 12 
0, 7 , 346 , 319 , 151 , 152 , 11 
0, 8 , 344 , 310 , 151 , 147 , 11 
0, 9 , 336 , 298 , 144 , 145 , 12 
0, 10 , 323 , 295 , 145 , 152 , 12 
0, 11 , 320 , 290 , 149 , 151 , 11 
0, 12 , 319 , 277 , 151 , 147 , 12 
0, 13 , 323 , 295 , 150 , 160 , 13 
0, 14 , 367 , 355 , 152 , 151 , 14 
0, 15 , 411 , 377 , 142 , 162 , 12 
0, 16 , 325 , 313 , 143 , 149 , 14 
0, 17 , 306 , 304 , 147 , 162 , 12 
0, 18 , 308 , 284 , 138 , 148 , 13 
0, 19 , 300 , 282 , 134 , 153 , 14 
0, 20 , 309 , 285 , 145 , 155 , 12 
0, 21 , 291 , 272 , 135 , 155 , 12 
0, 22 , 288 , 277 , 138 , 157 , 14 
0, 23 , 350 , 333 , 138 , 169 , 12 
0, 24 , 300 , 284 , 138 , 157 , 15 
0, 25 , 311 , 285 , 145 , 161 , 13 
0, 26 , 320 , 305 , 145 , 165 , 14 
0, 27 , 314 , 309 , 148 , 158 , 13 
0, 28 , 312 , 296 , 147 , 159 , 12 
0, 29 , 303 , 281 , 158 , 169 , 11 
0, 30 , 319 , 307 , 152 , 163 , 13 
0, 31 , 320 , 305 , 147 , 163 , 12 
0, 32 , 304 , 283 , 153 , 171 , 13 
0, 33 , 321 , 300 , 160 , 164 , 14 
0, 34 , 329 , 285 , 139 , 165 , 14 
0, 35 , 294 , 271 , 148 , 161 , 11 
0, 36 , 296 , 263 , 146 , 166 , 7 
0, 37 , 288 , 273 , 139 , 159 , 10 
