hour,minute,desktop,smartphone,tablet,other
0, -   , 337 , 139 , 141 , 11 
0, 1 , 454 , 132 , 144 , 11 
0, 2 , 436 , 139 , 146 , 11 
0, 3 , 426 , 134 , 142 , 11 
0, 4 , 469 , 137 , 143 , 13 
0, 5 , 429 , 142 , 137 , 13 
0, 6 , 361 , 154 , 139 , 12 
0, 7 , 346 , 151 , 152 , 11 
0, 8 , 344 , 151 , 147 , 11 
0, 9 , 336 , 144 , 145 , 12 
0, 10 , 323 , 145 , 152 , 12 
0, 11 , 320 , 149 , 151 , 11 
0, 12 , 319 , 151 , 147 , 12 
0, 13 , 323 , 150 , 160 , 13 
0, 14 , 367 , 152 , 151 , 14 
0, 15 , 411 , 142 , 162 , 12 
0, 16 , 325 , 143 , 149 , 14 
0, 17 , 306 , 147 , 162 , 12 
0, 18 , 308 , 138 , 148 , 13 
0, 19 , 300 , 134 , 153 , 14 
0, 20 , 309 , 145 , 155 , 12 
0, 21 , 291 , 135 , 155 , 12 
0, 22 , 288 , 138 , 157 , 14 
0, 23 , 350 , 138 , 169 , 12 
0, 24 , 300 , 138 , 157 , 15 
0, 25 , 311 , 145 , 161 , 13 
0, 26 , 320 , 145 , 165 , 14 
0, 27 , 314 , 148 , 158 , 13 
0, 28 , 312 , 147 , 159 , 12 
0, 29 , 303 , 158 , 169 , 11 
0, 30 , 319 , 152 , 163 , 13 
0, 31 , 320 , 147 , 163 , 12 
0, 32 , 304 , 153 , 171 , 13 
0, 33 , 321 , 160 , 164 , 14 
0, 34 , 329 , 139 , 165 , 14 
0, 35 , 294 , 148 , 161 , 11 
0, 36 , 296 , 146 , 166 , 7 
0, 37 , 288 , 139 , 159 , 10 
0, 38 , 347 , 144 , 163 , 11 
0, 39 , 335 , 143 , 169 , 11 
0, 40 , 302 , 144 , 172 , 11 
0, 41 , 301 , 139 , 172 , 12 
0, 42 , 309 , 147 , 164 , 12 
0, 43 , 310 , 142 , 182 , 11 
0, 44 , 321 , 147 , 177 , 13 
0, 45 , 406 , 162 , 189 , 14 
0, 46 , 419 , 179 , 210 , 13 
0, 47 , 392 , 191 , 205 , 16 
0, 48 , 372 , 181 , 211 , 17 
0, 49 , 382 , 191 , 208 , 17 
0, 50 , 402 , 192 , 204 , 15 
0, 51 , 450 , 186 , 208 , 15 
0, 52 , 409 , 192 , 202 , 15 
0, 53 , 424 , 189 , 200 , 17 
0, 54 , 408 , 189 , 200 , 19 
0, 55 , 396 , 190 , 197 , 16 
0, 56 , 375 , 187 , 219 , 16 
0, 57 , 426 , 191 , 216 , 14 
0, 58 , 390 , 201 , 222 , 15 
0, 59 , 389 , 201 , 206 , 17 
1, -   , 414 , 199 , 207 , 16 
1, 1 , 553 , 177 , 217 , 17 
1, 2 , 519 , 189 , 216 , 18 
1, 3 , 512 , 202 , 213 , 16 
1, 4 , 563 , 201 , 214 , 16 
1, 5 , 525 , 207 , 226 , 15 
1, 6 , 456 , 226 , 230 , 18 
1, 7 , 433 , 216 , 203 , 18 
1, 8 , 424 , 220 , 226 , 16 
1, 9 , 429 , 226 , 215 , 19 
1, 10 , 417 , 221 , 217 , 17 
1, 11 , 409 , 224 , 235 , 20 
1, 12 , 411 , 224 , 231 , 18 
1, 13 , 421 , 231 , 240 , 20 
1, 14 , 465 , 239 , 241 , 21 
1, 15 , 496 , 238 , 236 , 21 
1, 16 , 422 , 212 , 227 , 19 
1, 17 , 397 , 235 , 244 , 20 
1, 18 , 385 , 214 , 229 , 19 
1, 19 , 391 , 217 , 222 , 19 
1, 20 , 391 , 231 , 244 , 19 
1, 21 , 392 , 220 , 237 , 20 
1, 22 , 384 , 210 , 232 , 17 
1, 23 , 392 , 210 , 228 , 20 
1, 24 , 378 , 214 , 244 , 20 
1, 25 , 389 , 229 , 235 , 19 
1, 26 , 426 , 216 , 237 , 19 
1, 27 , 417 , 221 , 238 , 21 
1, 28 , 406 , 219 , 239 , 18 
1, 29 , 388 , 206 , 237 , 20 
1, 30 , 393 , 223 , 223 , 16 
1, 31 , 395 , 208 , 224 , 16 
1, 32 , 383 , 210 , 237 , 19 
1, 33 , 405 , 206 , 222 , 16 
1, 34 , 398 , 203 , 239 , 18 
1, 35 , 377 , 202 , 219 , 18 
1, 36 , 375 , 202 , 227 , 17 
1, 37 , 385 , 207 , 229 , 17 
1, 38 , 408 , 206 , 234 , 17 
1, 39 , 410 , 208 , 234 , 19 
1, 40 , 392 , 219 , 235 , 18 
1, 41 , 385 , 203 , 236 , 18 
1, 42 , 371 , 211 , 235 , 18 
1, 43 , 367 , 211 , 240 , 17 
1, 44 , 402 , 201 , 253 , 18 
1, 45 , 420 , 208 , 248 , 18 
1, 46 , 393 , 210 , 231 , 18 
1, 47 , 375 , 204 , 238 , 17 
1, 48 , 367 , 204 , 230 , 20 
1, 49 , 378 , 197 , 232 , 18 
1, 50 , 375 , 201 , 239 , 21 
1, 51 , 440 , 220 , 234 , 17 
1, 52 , 389 , 202 , 232 , 21 
1, 53 , 428 , 212 , 245 , 18 
1, 54 , 398 , 213 , 232 , 17 
1, 55 , 373 , 210 , 232 , 18 
1, 56 , 383 , 205 , 242 , 14 
1, 57 , 430 , 216 , 241 , 17 
1, 58 , 398 , 210 , 258 , 18 
1, 59 , 373 , 199 , 241 , 19 
2, -   , 414 , 189 , 225 , 18 
2, 1 , 539 , 184 , 223 , 14 
2, 2 , 521 , 187 , 234 , 15 
2, 3 , 485 , 184 , 243 , 18 
2, 4 , 529 , 189 , 232 , 17 
2, 5 , 505 , 193 , 234 , 17 
2, 6 , 443 , 207 , 239 , 17 
2, 7 , 418 , 192 , 232 , 19 
2, 8 , 404 , 197 , 235 , 19 
2, 9 , 407 , 193 , 234 , 18 
2, 10 , 389 , 202 , 229 , 17 
2, 11 , 391 , 192 , 248 , 19 
2, 12 , 365 , 197 , 264 , 22 
2, 13 , 382 , 206 , 257 , 19 
2, 14 , 437 , 213 , 252 , 16 
2, 15 , 482 , 204 , 247 , 16 
2, 16 , 405 , 197 , 259 , 17 
2, 17 , 390 , 215 , 240 , 18 
2, 18 , 372 , 206 , 236 , 16 
2, 19 , 368 , 206 , 243 , 17 
2, 20 , 370 , 203 , 246 , 19 
2, 21 , 359 , 195 , 240 , 16 
2, 22 , 364 , 195 , 234 , 17 
2, 23 , 354 , 198 , 242 , 16 
2, 24 , 349 , 198 , 250 , 20 
2, 25 , 376 , 191 , 248 , 17 
2, 26 , 388 , 193 , 240 , 17 
2, 27 , 386 , 190 , 239 , 17 
2, 28 , 376 , 193 , 243 , 19 
2, 29 , 364 , 197 , 234 , 16 
2, 30 , 375 , 197 , 237 , 19 
2, 31 , 377 , 182 , 232 , 16 
2, 32 , 378 , 189 , 249 , 19 
2, 33 , 384 , 184 , 245 , 16 
2, 34 , 391 , 199 , 232 , 16 
2, 35 , 369 , 192 , 233 , 17 
2, 36 , 362 , 192 , 234 , 18 
2, 37 , 358 , 202 , 226 , 18 
2, 38 , 383 , 204 , 237 , 18 
2, 39 , 373 , 195 , 227 , 16 
2, 40 , 362 , 199 , 231 , 16 
2, 41 , 366 , 192 , 242 , 17 
2, 42 , 360 , 195 , 246 , 17 
