hour,minute,UK,UK_p,US,US_p,CEMEA,CEMEA_p,Asia,Asia_p,Mid_East,Mid_East_p
0, -   , 308 , 18 , 628 , 54 , 119 , 15 , 334 , 81 , 15 , 24 
0, 1 , 326 , 19 , 741 , 63 , 129 , 16 , 347 , 85 , 20 , 33 
0, 2 , 312 , 18 , 732 , 63 , 131 , 17 , 340 , 83 , 14 , 24 
0, 3 , 308 , 18 , 713 , 61 , 127 , 16 , 331 , 81 , 15 , 24 
0, 4 , 314 , 18 , 762 , 65 , 124 , 16 , 321 , 78 , 18 , 29 
0, 5 , 301 , 17 , 722 , 62 , 125 , 16 , 325 , 79 , 15 , 26 
0, 6 , 294 , 17 , 666 , 57 , 126 , 16 , 336 , 82 , 17 , 28 
0, 7 , 292 , 17 , 659 , 57 , 108 , 14 , 330 , 81 , 16 , 26 
0, 8 , 289 , 16 , 654 , 56 , 108 , 14 , 337 , 82 , 18 , 30 
0, 9 , 293 , 17 , 638 , 55 , 108 , 14 , 335 , 82 , 18 , 29 
0, 10 , 297 , 17 , 632 , 54 , 111 , 14 , 339 , 83 , 15 , 25 
0, 11 , 289 , 17 , 631 , 54 , 108 , 14 , 338 , 83 , 16 , 26 
0, 12 , 281 , 16 , 630 , 54 , 117 , 15 , 338 , 83 , 15 , 24 
0, 13 , 275 , 16 , 645 , 55 , 111 , 14 , 353 , 86 , 14 , 22 
0, 14 , 288 , 16 , 684 , 59 , 116 , 15 , 349 , 85 , 18 , 29 
0, 15 , 279 , 16 , 727 , 62 , 114 , 14 , 354 , 86 , 18 , 29 
0, 16 , 271 , 15 , 630 , 54 , 108 , 14 , 352 , 86 , 17 , 28 
0, 17 , 265 , 15 , 626 , 54 , 101 , 13 , 343 , 84 , 18 , 29 
0, 18 , 252 , 14 , 607 , 52 , 108 , 14 , 340 , 83 , 19 , 30 
0, 19 , 261 , 15 , 601 , 52 , 101 , 13 , 351 , 86 , 18 , 30 
0, 20 , 255 , 15 , 621 , 53 , 92 , 12 , 351 , 86 , 18 , 29 
0, 21 , 253 , 14 , 594 , 51 , 105 , 13 , 355 , 87 , 14 , 24 
0, 22 , 246 , 14 , 597 , 51 , 91 , 12 , 351 , 86 , 18 , 29 
0, 23 , 271 , 15 , 669 , 57 , 112 , 14 , 378 , 92 , 14 , 23 
0, 24 , 245 , 14 , 610 , 52 , 98 , 12 , 356 , 87 , 16 , 26 
0, 25 , 237 , 14 , 631 , 54 , 95 , 12 , 358 , 87 , 17 , 27 
0, 26 , 220 , 13 , 644 , 55 , 93 , 12 , 366 , 89 , 15 , 25 
0, 27 , 232 , 13 , 633 , 54 , 96 , 12 , 356 , 87 , 17 , 29 
0, 28 , 228 , 13 , 629 , 54 , 84 , 11 , 364 , 89 , 15 , 25 
0, 29 , 237 , 14 , 642 , 55 , 93 , 12 , 378 , 92 , 17 , 28 
0, 30 , 215 , 12 , 646 , 55 , 86 , 11 , 371 , 91 , 15 , 25 
0, 31 , 203 , 12 , 643 , 55 , 81 , 10 , 349 , 85 , 17 , 27 
0, 32 , 226 , 13 , 641 , 55 , 83 , 11 , 366 , 89 , 17 , 28 
0, 33 , 228 , 13 , 658 , 56 , 83 , 11 , 364 , 89 , 16 , 26 
0, 34 , 237 , 13 , 648 , 56 , 79 , 10 , 360 , 88 , 16 , 27 
0, 35 , 216 , 12 , 614 , 53 , 84 , 11 , 370 , 90 , 16 , 26 
0, 36 , 213 , 12 , 616 , 53 , 82 , 10 , 365 , 89 , 15 , 25 
0, 37 , 200 , 11 , 596 , 51 , 81 , 10 , 370 , 90 , 15 , 25 
0, 38 , 202 , 12 , 665 , 57 , 81 , 10 , 359 , 88 , 14 , 23 
0, 39 , 199 , 11 , 657 , 56 , 77 , 10 , 373 , 91 , 14 , 23 
0, 40 , 198 , 11 , 628 , 54 , 74 , 9 , 368 , 90 , 18 , 29 
0, 41 , 193 , 11 , 625 , 54 , 76 , 10 , 359 , 88 , 15 , 25 
0, 42 , 191 , 11 , 632 , 54 , 75 , 9 , 363 , 89 , 14 , 24 
0, 43 , 196 , 11 , 646 , 55 , 82 , 10 , 380 , 93 , 17 , 27 
0, 44 , 198 , 11 , 658 , 56 , 81 , 10 , 373 , 91 , 15 , 24 
0, 45 , 196 , 11 , 771 , 66 , 84 , 11 , 410 , 100 , 16 , 26 
0, 46 , 191 , 11 , 821 , 70 , 77 , 10 , 378 , 92 , 15 , 25 
0, 47 , 184 , 11 , 804 , 69 , 74 , 9 , 378 , 92 , 14 , 22 
0, 48 , 187 , 11 , 781 , 67 , 73 , 9 , 383 , 93 , 15 , 25 
0, 49 , 179 , 10 , 798 , 68 , 73 , 9 , 387 , 94 , 16 , 27 
0, 50 , 176 , 10 , 812 , 70 , 71 , 9 , 386 , 94 , 15 , 24 
0, 51 , 177 , 10 , 859 , 74 , 75 , 9 , 382 , 93 , 17 , 28 
0, 52 , 184 , 11 , 818 , 70 , 75 , 10 , 374 , 91 , 12 , 20 
0, 53 , 177 , 10 , 830 , 71 , 78 , 10 , 382 , 93 , 12 , 19 
0, 54 , 171 , 10 , 816 , 70 , 74 , 9 , 380 , 93 , 15 , 24 
0, 55 , 180 , 10 , 799 , 68 , 78 , 10 , 365 , 89 , 16 , 26 
0, 56 , 176 , 10 , 797 , 68 , 74 , 9 , 366 , 89 , 16 , 27 
0, 57 , 179 , 10 , 846 , 73 , 76 , 10 , 376 , 92 , 14 , 24 
0, 58 , 172 , 10 , 828 , 71 , 73 , 9 , 379 , 93 , 12 , 20 
0, 59 , 174 , 10 , 812 , 70 , 64 , 8 , 371 , 91 , 11 , 19 
1, -   , 175 , 10 , 835 , 72 , 67 , 8 , 369 , 90 , 14 , 23 
1, 1 , 183 , 10 , 964 , 83 , 77 , 10 , 380 , 93 , 19 , 32 
1, 2 , 177 , 10 , 942 , 81 , 76 , 10 , 378 , 92 , 18 , 29 
1, 3 , 172 , 10 , 942 , 81 , 74 , 9 , 360 , 88 , 18 , 29 
1, 4 , 172 , 10 , 994 , 85 , 71 , 9 , 367 , 89 , 16 , 26 
1, 5 , 158 , 9 , 973 , 83 , 65 , 8 , 377 , 92 , 15 , 24 
1, 6 , 167 , 10 , 930 , 80 , 68 , 9 , 365 , 89 , 12 , 20 
1, 7 , 164 , 9 , 870 , 75 , 70 , 9 , 362 , 88 , 13 , 21 
1, 8 , 158 , 9 , 885 , 76 , 67 , 9 , 355 , 87 , 18 , 30 
1, 9 , 159 , 9 , 889 , 76 , 66 , 8 , 364 , 89 , 18 , 29 
1, 10 , 170 , 10 , 872 , 75 , 69 , 9 , 374 , 91 , 18 , 29 
1, 11 , 150 , 9 , 888 , 76 , 63 , 8 , 365 , 89 , 14 , 23 
1, 12 , 155 , 9 , 884 , 76 , 66 , 8 , 362 , 88 , 14 , 23 
